Review,Rating,Length
poor value stay monaco seattle july nice hotel price 100 150 night hotel take beat quotient experience simply average nothing exceptional pay 300 nt ca nt terribly disappoint wife stay nicest suit 200night felt like overpay best advice shop qualitywise league average marriott nice best western,Bad,294
nice value seattle stay 4 nights late 2007 look comparable hilton marriott westin area pointsmiles nt give monaco shoot pleasantly surprise nice room service quick tasty bed especially comfortable unlike people nothing positive things say service downside relatively small exercise room treadmill heck east coast time run person 5 days definitely stay,Good,351
nice hotel good location hotel kimpton design whimsical vibe fun staff young casual problem hotel busy stay friendly helpful group reserve room give connect room fuss busy weekthe room decent size huge pretty average city hotel bed nice bathrooms clean bright pocket doors ideal busy bathroom room design bright cheery flat panel tv location little noisy fine 5th floor location convenient walkable attractions new central library sam art museum benaroya concert hall pike place market park steep 29night even wine receptions popular,Good,533
nice hotel nice staff hotel lovely staff quite rude bellhop desk clerk go way make things difficult wait forever check heavy bag help get throught double doors room worst desk clerk check tap tap tap car wait pick 20 minutes get home notice 1000 dollar hold credit card take 5 phonecalls 2 fax 1 week resolve stay warwck 4th lenora room okbut al friendly face tire day airport,Netral,376
great hotel night quick business trip love little touch like goldfish leopard print robe complaint wifi complimentary internet access business center great location library service fabulous,Good,189
horrible customer service hotel stay february 3rd 4th 2007my friend pick hotel monaco appeal website online package include champagne late checkout 3 free valet gift spa weekend friend check room hours earlier come later pull valet young man stand ask valet open say pull bag didnçé offer help get garment bag suitcase come car key room number say valet car park car street pull leave key work ask valet park car get go room fine bottle champagne oil lotion gift spa dress go come get bed notice blood drop pillow sheet pillow disgust unbelievable call desk send somebody 20 minutes later swap sheet leave apologize sunday morning call desk speak management sheet aggravate rude apparently manager kind supervisor weekend wait monday morning young man speak say cover food add person change sheet say fresh blood rude tone checkout 3pm package book 12 130 staff maids try walk room open door apologize close people call say check 12 remind package finally pack things go downstairs check quickly sign paper take way take closer look room unfortunately cover food offer charge valet call desk ask charge lady answer snap say aware problem experience monday like tell earlier life treat like hotel sure hotel constantly problems lucky ones stay recommend anybody know,Bad,1265
disappoint say anticipate stay hotel monaco base review see tripadvisor definitely disppointment decor room hotel envision nice housekeep staff impressive extremely polite cheery helpful desk bellmen standard customer service lot little things easily overlook break make mirror sag post bathroom jiggly entrance handle room nt feel secure handle nearly fall door husband early morning flight midweek ask cab call suggest cab ride cost double private car flatrate nt case know cost cab 30 car 38 bell staff insist like 65 taxi ride cab driver later explain bell staff kick referrals prefer guests city andor hotel hotel staff look best interest new years plan din restaurant hotel new year day come dress dinner tell desk close holiday ask nearby response good luck find today good luck thank help feature need hotel business centre work downstairs service completely semifuncitional internet service outsource end spend 50 money nt work refund 25 hours vacation time troubleshoot internet company toll free service line ask desk time assistance tell worst experience time ask desk assistance get response include shrug say oh bad majority staff attitude simply care need help dare intrude time get snotty response occasion catch desk girls smirk think turn nt talk frustrate honesty nt wait check nice decor like goldfish housekeep staff great end hotel want dash door nt way concern take greet pretty ignore desk area unless approach time street westin saw nothing smile face come go hotel,Bad,1490
fantastic stay monaco seattle hotel monaco hold high standards kimpton hotel line stay kimpton hotels cities easily say seattle hotel monaco best see service attentive prompt base member kimpton loyalty program upgrade 10th floor room great view 4th street excellent public library kittycorner hotel highly recommend tour public library blow away room quite spacious beautiful flatscreen television dvdcd player exercise room pretty standard kimpton size mean adequate outstanding eliptical cardio machine stationary bike personal view screen cardio machine screen accept dvd see kimpton hotels hotel monaco line particular hotel lobby stylish quirky invite easy imagine spend time relax comfortable overstuff chair restaurant attach hotel sazerac good far eat lunch look forward breakfast tomorrow kimpton properties able connect free highspeed internet ethernet second cruise web check email office problems opinion ca nt wrong kimpton hotel seattle hotel monaco certainly excellent choice,Good,991
good choice hotel recommend sister great location room nice comfortable bed quiet staff helpful recommendations restaurants pike market 4 block walk stay,Good,153
hmmmmm say really high hop hotel monaco choose base girlfriend shop trip seattle stay say give competition seattle okay hotel lot nice feature little things detract bed super soft luxurious comforters pillow mattress rock hard standard hotel bed keep awake nights furnish nice color pattern fun chair rip wall paper peel stay room 815 noise like fog horn vibrate wall stay guess water pip really annoyingon wake morning package decaf instead regular coffee take 30 minutes send coffee show package coffee town usa little package 3 tiny dry creamers suppose coffee service lobby saw clear really early go 10am wine reception 56 boy better time walk 550 like look manager like try scope 2nd glass food plate goldfish crackers classyfriday night restaurant bar close 4pm private party plan eat hear fun bar bummer add restall hotel posters say things like hotel comfort felt cater comfortable staff ask say hello look visit,Netral,920
service service service spend week gfriend labor day bumbershoot gray line airporter drop corner hotel 10 person cab 28 total make sure flat rate town car 38 location central downtown street w itçé quick walk point tourist business yes space needle bite far monorail westlake center easy walk away tourist underground tour public market space needle emp leave bite room luggage shop great neighborhood safe clean room mediterranean suite quite large equip twoperson jacuzzi tub small stand glassenclosed shower room view care room clean small throw blanket adorn foot bed take tastefully decorate wall strip trust wont feel like stale hotel ask gold fish bring wellbehaved dog companyservice aspects excellent desk house keep concierge room service bell desk ready provide warm professional service test donçé flinchgym open 24 hours newer cardio machine dumbbells highest weight 25 water towel tv goldçé walk distancegastronomy sazerac worth try impressive itçé amusingthis visit seattle monaco like bed westin better prefer monaco afford w gfriends visit want bumbershoot year stay hotel monaco,Good,1096
excellent stay delightful surprise stay monaco thoroughly enjoy stay room comfortable lovely amenities friendly staff especially enjoy hour indulgence definitely come,Good,166
good value downtown hotel monaco seattle great option pricey area town room w street go close 400 night hotel monaco unique interest cozy bedlinens quality aveda products bathroom nice touchyou close downtown quick cab ride away nightlife restaurants love lola experience quirky luxurious funi definitely stay,Good,309
hotel monaco great location service hotel monaco centrally locate provide excellent service recently stay 42351 originally check slight problem inform book queen bed expedia room king bed fortunately fellow guest check time swap room future reference book expedia recommend double check hotel ensure receive correct room staff state better book hotel directly match online rat additionally concierge marco helpful sit night call salty make reservations brunch day inform seat available follow day concierge call restaurant hours want dine able book table 5 great window view hotel block away pike place market seattle art museum shop district walk distance space needle experience music project attractions ammenities service provide hotel include pet goldfish wine taste yoga mat use room seattle recommend take helicopter tour mt st helens hoffstadt visitor center,Good,866
great location need internally upgrade advantage north end downtown seattle great restaurants nearby good price room need update literally think sleep 1970 bed old pillow sheet net result bad nights sleep stay location staff friendly,Bad,233
nt mind noise place great read review noise use hotel website book room interest site give checkbox options 1 room farthest elevator 2 room higher floor 3 quiet room get quietest room possible check hop get 6th floor 1819 floor hall elevator listen truck ambulance sirens night sheeeesh aside heat units sound like small plane engines hear surround roomsif noise sleep facilities clean conveniently locate reasonably price staff quite helpful,Netral,442
love stay warwick overnight getway enjoy christmas shop warwick exceed expectations staff wonderful extrememly friendly room clean service lounge wonderful come contact hotel friendly women bathroom lever lounge well think haunt totally creepy vibe light anywho really enjoy stay go couple days,Good,294
meet expectations centrally locate hotel block water popular nightlife shop options belltown downtown classify property star location pay wed rate sure fare value proposition room spacious little outdated room decent view lower floor drab panaroma park lot build adequate fitness center sauna pool basement quaint barrestaurant attach hotel park 30 day outrage possibly standard downtown street park weekend save dollars will stay future price significantly lower nearby fourstar competition,Netral,491
nice hotel husband stay warwick 4 years ago like hotel location hesitate book tripwe ask receive nonsmoking room king bed high floor hop hotel nice view space needle checkin nice friendly key minutes nice room small loveseat juliet balconylove location hotel block away best restaurants downtown dahlia lounge palace kitchen lola small grocery storeminimart right street wine easy walk pike place marketon site hotel nice restaurant lounge area eat breakfast hotel drink loungebar time good servicewe nt chance use look pool exercise room locate basement pool small definitely useable exercise room variety machine weight newest market definitely decent machine keep neat clean exercise room plenty towel water cooler availablei think run maid days leave friendlywe use business center couple time consist 2 computers free internet printer need ask key desk nice handyoverall think staff helpful hotel quiet good location definitely meet expectations stay years ago definitely return hope soon,Good,993
good hotel large hotel newly decorate room good size clean excellent location 2 block centre town 4 block market areahotel resturant bustle place alot diners come street good meal thereoverall highly recommend stay,Good,214
good choice seattle stay night business book company overall satisfactory arrive late even room 17th floor clean comfortable great view bathroom little small clean equip good night sleep enjoy excellent breakfast restaurant check staff encounter friendly polite,Good,261
great location expensive park warwick heart seattle easy walk distance pikes place monorail terminal downtown shop stay twice recently start finish tour pacific north west staff helpful knowledgable room large comfy armchair large bed room room fridge coffee makerparking site expensive guess reflect city centre park price free zone travel seattle bus cheap free travel central seattle handy grocery store opposite,Good,415
noise airconditionera standard arrange stay travel agency unfortunately warwick seattle hotel dissapointment trip 3 night stay warwick change 3 room start minute stay hotel personnel didnt make feel like guest like intruder reluctant help solve complaints hotel right downtown 5 minutes really good restaurants like good thing availability room offer 2nd floor window directly open car park level change room 3 room loud sound come air conditioner heat unbelievable hotel hotel personnel tell standard noise room try avoid use night order sleep possible watch tv loudly,Bad,569
good location poor cleanliness warwick hotel great location seattle close shop pike place seattle centre really let hotel cleanliness bed linen tear curtain tear floor stain hotel advertise balcony reality disappointment stay hotel san diego balcony table chair warwick balcony 10 inchesthe view room view space needle terrific nt make poor cleanliness check staff pleasant unpleasant decide sample restaurant ralph deli street great snack cafethere plenty better hotels seattle slightly money warwick choose eg hotel andra,Bad,523
good place spend big buck warwick plenty comfortable nice nice view space needle room nt expect balcony 18 inch ledge ironwork fall overboard open patio door partially step view lake union elliott bay morning space needle hide cloud neat sunny weather cloudy need warwick complaints,Good,282
nice hotel trip seattle want stay downtown good rate hotel decide stay warwick clean stay 17th floor excellent view space needle downtown nice able open slide door let cool air bed comfy pillow room clean park problem use hotel park staff friendly helpful ask key business center 2 computers needle say hassle use computers acquire key restaurant good breakfast hotel walk distance major attractions like state space needle pike market 20 mins away walk opt drive therewe please hotel stay,Good,489
great value seattle spouse stay warwick seattle days september hotel disappoint reasonably price stay downtown area easy walk sightsee attractions block waterfront free bus seattle figure work research room king bed spacious nicely appoint comfortable plenty pillow coffee room course great seattle bath finish marble deep tub handheld shower nice touch toiletries average huge consideration complaints concern desk reservations trip leg olympic penninsula decide cancel second reservation arrive hotel day travel desk clerk keep wait minutes hello move second desk clerk free tell reservation attempt look walk stairs park garage confirmation luggage reservation follow day office try tell nt stay park 21day pretty steep option park seattle scarce hotel nt shuttle option cab 30the hotel restaurant adequate really great breakfast walk block mayflower park hotel pricey fabulous,Good,880
gem hotel absolute gem small great service room huge certainly adequate clean comfortable ask room high floor great view downtown space needlebest attentive staff concierges friendly helpful shuttle drivers go way literally victoria ferry pick convenientwould recommend,Good,269
pretty good value visit seattle frequently 1 2 days longer stay 2 nights worth especially hotel raise rat lately recommend ramada step away stay longer time perfect especially families fancier hotels town warwick satisfy families especially expensive suit swim pool bite dark balconies acually big step windows view location perfect small restaurant dont overprice offer better food downtown,Good,391
average nice stay hotel amaze location great restaurants gourmet grocery cinerama 1 block radius macy nordstroms shop block mattress comfy amaze sweep view space needle lake union downtown elliott bay great pool gym facility room service nothing write home nt pizza park 21 yikes old build nicely remodel,Good,304
bad choice book hotel hot wire call immediately request nonsmoking room king bed room away elevatoricethe person speak pleasant state guarantee request honor make note reservation checkin person desk rude say special request note reservation card andstated king bed way reservation stick 2 double bed locate directly accross elevator ice nonsmoking elevator park garage hotel warwick mat garage filthy stairwells hotel face 4th smell urine carpet registration elevator area need clean upholstery curtain room need clean andpressing sign bathroom water conservation tub facet drip continuously tub drain needsattention shower curtain hole coffee maker room bed fit bed sleep directly mattress bed askew staff unfriendly short housekeep staff quite pleasant stay hotel,Bad,766
good value hotel stay warwick time past years spend night march 25 2005 room fine king bed tv pay view movies minifridge thing miss coffee maker nice marble bathroom hand hold shower view east hotel space needle time view 2 westin hotel tower price right get 10 miles aadvantage card fly ointment 21 overnight park charge definately come location great,Good,352
warwick bad good review warwick shock staff quite rude room fairly dirty cut ask bandaid request bottle opener better service,Bad,125
great service warwick recently spend 4 days christmas holiday warwick helpfulness care courtesy experience desk restaurant room service housekeep staff truly average greatly appreciate restaurant turn fabulous meals time certain operate skeleton staff thing prevent give place excellent rat follow hotel tire old dirty carpet bed expect hostel give price range room face lift necessary,Good,385
austin power decor familiar hotel seattlewhere sheet 3 different color hairbut okbecause clean second daythe bathroom friend cringeshe ask bring flip flop sanitizer spraythe dirty shag carpet nt stop wallit crawl inchesi star saw shin worse,Bad,240
great location nt stay long need place stay seattle prior catch early morning amtrak train portland look train station drop hertz car hilton downtown want place spend night call hotel seattle base location tourist map near hilton nt access internet research review stay location great virtually door high end hotels half price hilton think try check ask aaa discount clerk response time hear hotel desk clerk know aaa room use low budget movie version run hotel threadbare carpet dingy curtain quite hang right minimal light strange hang light middle room dingy bathroom definitely dingy appear obviously dirty ac luckily nt need bed particularly comfortable little boucy people definitely gravitate middle clock room wake requestedit ok spend night nt want spend positive great safe location quick taxi ride train station shower great invest low flow shower head water pressure really high really enjoy conversation desk clerk morning mention clerk previous night hear aaa tell clerk moron owner ask interview go say check review trip advisor list worst hotels seattle get ta love type enthusiastic employee work night friend day clerk mention nicer room definitely nt want nice ones recommend ask room commit,Bad,1210
pay read review book know get mind nt surprise fact better expect yes room outdated towel floormat limit cable tv overall lack amenities use hotel reviewer say like budget overseas hotel stay similar condition enjoy experience check desk service great ask extra pillow maid get spend 5 flower pike street add character roomlocation friends stay fairmont street stay 3 nights night cost money go dinners trip victoria baseball game,Netral,430
bad location unmatchable price range simple sleep room 80 expect pay 2x surprisingly cleaner hotels see past week drive la stay travelodge days inn motel 6 quality furnish high sure little run spot old build usual character flaw none affect comfort lucky corner room especially nice look w know pay 250night bath work nt care watch tv vacation idea work want believe comment feel free mean room come,Netral,399
remarkable hotel need days book inn base tripadvisor review great hotel staff professional accomodating town car service available airport immaculate room spacious bathroom great location great hotel price great hotel room face inner coutyard problem noise room face st noisy location excellent downtown seattlewent attach restaurant bacco breakfast cafe champagne dinner excellent,Good,381
great location friendly staff stay hotel easter throughly enjoy time superably locate explore seattle especially market room good sizethe staff friendly helpful reception area welcomingour room exit stairwell night hear rumble assume like air condition pip,Good,256
excellent way stay inn market memorial day weekend room large great view water sure request way advance hotel quiet fully book crowd service impeccable staff wellmannered friendly ca nt fault anythingit great location right pike place market near lot great restaurants like etta chez shea,Good,288
amaze location great view fabulous boutique hotel adjacent fish market seattle stay short night head vancouver island honeymoon love service great desk point great spot sandwich 10pm sunday easy hotel adorable chocolate cover strawberries room decorate like bride groom thoughtful cute touch nt time explore area hotel room clean pretty view watermarket bathroom nicer standard hotel bathroom brunch morning little breakfast place tasty hit spot drive ferriesoh hotel cool outdoor patio higher floor offer really incredible viewsa stone throw pike place market,Good,560
outstanding choice reserve city view room night week checkin helpful desk staff amy give complimentary upgrade 8th floor water view access large deck overlook seemingly checkin housekeep valet service checkout smooth friendly pike place market close silly staff great recommendations breakfast dinner try steer house restaurant stay say absolutely excellent room clean appoint reason reserve room timealthought fairmont better choice kid come,Good,442
great hotel great hotel good size clean room helpful staff unbeatable location walk door pikes market original starbucks hotel walk underground tour monorail space needle duck tour stay,Good,185
expensive biz travellers simple fact hotel location simply unbeatable mere stone throw away pike market plenty great restaurants generally fun area tourist quality hotel soso place business travellers bite hard especially return trip hk stay conrad hk wynn macau compare inn feel like motel 6 issues1 desks room place laptops wireless internet place work bed 2 furniture cover worned outdated 3 room 409 city view room room date avoid cost window sit right bus stop claim windows double pan hear bus roar engines sleep ear plug desk 4 ac standalone unit attach wall central standalone unit quite bite noise look cheap tacky 5 business center fax machine locate basement hotel price pay pay location staff extremely friendly folks check fry doughnuts dhalia lounge,Netral,763
nice place lunatic 20000 miles fly space days night kill seattle early transcon flight nyc night original plan need hotel none prebookedthis place recommend block excellent irish pub kells happen end injust room leave 220 taxexcellent friendly staff lovely decor big room im use nyc rabbit hutch big spacious view water free wifi need ask reception access code place spotless nicely decorate individual usual bland chain hotels sadly prevailthe area felt finein limit time safe near bar shop usual stuff drunken noise street eitherit quiet comfortable sleep wellnormally like add picture review length stay lack ca nt time sorry return seattle list hotels use try,Good,663
okay amaze husband stay weekend night spend time try great place stay seattle read tripadvisor review saw list tl 500 hotels like pretty good bet fantastic place great fine really amaze little boutique hotel expect review rat think room nice incredible service better woman desk friendly get things wrong note visit seattle try eat canlis incredible meal,Netral,354
boutique charmer great location wife recently spend 5 nights inn market attend convention nice time small comfortably furnish hotel great location hill pike place market walk convention center 8 block east pretty easy steep 12 block adjacent hotel number trendy restaurants walk north ave pioneer square old stone build charm pergola south road course market 12 block west food stand boutiques fish flower stall handicrafts jewelry table entertainers ethnic din options spill narrow alleys cover arcades pleasure wake morning grab eat nearby watch small truck vans unload war vendors set tablesour room corner overlook city spacious lot storage space wardrobe large bathroom sink pedestaltype spread toiletries limit glass shelf nearby small tableshelf unit hear traffic noise street annoy request lowestpriced room city nt expect total silence close doors room window seat pillow nice feature make room appear bigger provide additional seat good spot read peoplewatching decor contemporary beiges brown black predominate good weather upstairs terrace nice place sit enjoy view bay marketthe modern brick build surround pleasant courtyard splash fountainsculpture adjacent outdoor seat hotel restaurant lobby open courtyard fireplace stuff chair registration desk helpful staff operateswe enjoy time hotel nice option nt want large convention hotel central seattle location aware seattle share street people couple strip club near pike place market,Good,1448
love inn inn market awesome beat location right market room large bed really comfortable room partial view elliot bay nt miss rooftop deck best view seattle short space needle staff friendly highly recommend stay future,Good,219
nt ask better hotel experience hotel perfect stay townhouse suite nights wish stay month soon walk room open windows million dollar view skyline city pike market literally 50 feet away water mountains distance room level kitchenette live room downstairs bedroom bathroom upstairs bose radio great fact turn television bed really comfortable linens topnotch okay service word fantastic extremely important greet casual genuine manner time enter leave hotel eyecontact sound easy rarity today hotel market matter come go greet smile eye contact really love staff helpful go duty ensure take care know great place wonderful restaurants dine atsome hotels nt inn market definitely understand excellent service hospitality stay small intimate property like take care monstrous hotel kudos staff management make fabulous hotel experience,Good,831
nice need undating husband stay inn market celebrate birthday overall stay wonderful enjoy twostory suite incredible view market sound quiet location perfect complaint hotel need better job keep maintainance room major scratch wall stain carpet crack bathroom tile significant sign wear bathroom price expect regard quality upkeep hopefully management pay attention keep lovely hotel fresh lovely,Good,396
wonderful location great bed pretty room inn market live positive review tourists car location nt better countless excellent restaurants easy walk distance rainy able explore area race hotel warm get wet cold socal little tolerance weather staff friendly view deck glorious dark day room spacious bed extremely comfortable hotel stay seattle great fun uncooperative weather,Good,373
tempurpedic bed minute literally drive past way hotel decide stay great staff extremely helpful accommodate room really comfortable clean location excellent atmosphere location hotel great choice previously stay grand hyatt return room internal face leave bite loud tempurpedic mattress huge bonus fun try way restaurant courtyard desk staff suggest try turn excellent view deck great stay,Good,389
love inn stay inn market 71105 71805 location hotel perfect sightsee get seattle car nt want drive seattle pikes market street waterfront step monorail space needle short walk plenty great place eat short walk cab ride service conceirge staff inn terrific helpful recommend arrange sightsee excursions mt ranier whale watch vineyard tour etc complimentary town car available trip downtown area great help dinner reservations room immaculate twice day room service include turn even fresh towel decor room modern elegant nt miss roof garden area great view puget sound great place unwind end day bottle wine definetly return inn,Good,627
worth money location recently stay inn market return stay 1999 best location seattle particularly shop hotel nice room nicely furnish breath away room view risky go seattle sit room watch world bed tempurpedic incredible count great night sleep 1999 staff excellent request room floor terrace meet request pleasantly guests advantage terrace nice even shop pine street purchase nice bottle washington state wine snack head terrace watch ship leave sunset relax romantic staff assist wine glass need,Good,498
hat inn terrible roomservice horrible staff unwelcoming decor recently update lack complete look managment staff horrible,Bad,121
love inn husband want romantic away night inn perfect meet imagine room clean quiet comfortable bath rob nice touch staff helpful location great good restaurants walk distance market right fun visit time free bus service close visit sit city beware park hotel valet cost 2500 night mention desk person away cost mention web page expect pay remove charge great customer service wonderful deck overlook puget sound recommend inn plan long visit romantic away,Good,456
ace place husband stay ace hotel seattle nights excite book room style hotel far alley floral bb motel 6 happy impressions room decent size bright corner windows itçé picture website shepard fairey wall ask desk clerk park state website street park available nt tell get street park stay 8am start chargingç nt lot info drug luggage room head bed things get worse bed size list website assume queen bed size sleep comfortably little difficult nt sleep happen room room bar loadingdelivery zone corner bus stop noise stagger continue night morning wake early fee meter glow light hall show window door annoy saw turn day request fairness rest staff deal nice accommodate unable follow night hotel plus share bathrooms issue find free breakfast include coffee tea fresh waffle toast granola juice yogurt apples pile good magazines available guests rob room use second night sleep slightly better use earplugs acceptable solution wake early deal car night move smaller interior room considerably quieter down music hear fan hall bathrooms room wall definitely felt like dorm room sleep better recommend hotel travel friends plan sleep loud roommates come home drink play loud music time location good walk attractions like space needle market good restaurants nearby donçé know stay,Netral,1279
pay location location perfect walk distance lot stairs bag problem elevator available clean noisy woodden floor hear room street breakfast include good conclusion good compromise,Netral,178
ace grunge live mold mildew tiny bed metal sink cool extra instead nightsta,Bad,75
ace hotel reasonably price hotel great location seattle spend nights room staff great communal shower immaculate queue breakfast great bite street noise come floor ear plug room highly recommend bar cyclops hotel,Good,212
disappoint arrange anticipate girl weekend friend escape children excite sleep night children want enjoy hip place cool design stay bore runofthe hotel opt ace hotel dig order ensure maximum uninterrupted sleep book separate room arrival hotel inform hotel mixup online reservation room small queensized bed supposedly deluxe room normally suck accept simple mistake time really annoy irritation partially attribute overall nonchalant attitude ubercool reception person nt really attempt compensate slightly lower rate room fact check reservation print sheet refuse let look friend ask want crossreference information sheet write reservation strange appear mistake nt want admit quick blame online book inference fault book online add insult injury tell shell small fortune park lot street park reduce rate lot easily mark room dingy charm photos website suggest couple room walk corridors look lot better room didanyway aside great location decently price overall experience nt impressive days later receive email hotel thank stay hope enjoy stay respond email outline frustrations accomodation like time really need air dissatisfaction hotel manager reply apologetic email offer discount later night stay redeem 1st 2008 like positive response negative experience plan return hotel husband romantic away socalled compensatory offer acknowledge multiple attempt contact manager specific date weekend message nothing return message nt know happen reply guess hotel nt need business experience isolate case event plan stay ace time soon,Bad,1535
ace hotel awesome stay seattle ace hotel 5 days love great location belltown directly opposite macrina bakery quite possibly best breakfastbrunchlunch place seattle wtih fabulous bake goodsall staff friendly helpful checkin friendly receptionist forget ask sorry give 4 fabulous food recommendations city try love foodies extemely important good recommendations localsthe room small totally adequate share bathrooms shower room spotlessly clean enjoy simplicity hotel little extra touch like adjustable light music bathrooms free current magazines available lobby breakfast granola really yummy toofor location amenities price say ace hard beat,Good,644
perfect way stay ace seattle short time august perfect hotel things need none things nt great design super comfy great location staff friendly know cool place helpful way room super stylie great art ammenities really need love place plan make sepcial trip portland check ace portland apparently turntables room library vinyl check,Good,330
interest comfortable base seattle really enjoy time interest decor unique touch super clean tidy bathrooms share spacious clean available breakfast adequate fresh simple quite healthy nice change usual cardiac induce breakfast fare serve hotels definitely stay,Good,260
